"","precision","recall","f1","accuracy","para_coauthor","para_paper","para_journal","Author"
"AGupta",0.116750200058965,0.660157180281019,0.198410994202276,0.450423260949577,0.666945812618353,0.137119663386612,0.195934523995035,1
"AKumar",0.286146858440575,0.73828125,0.412438625204583,0.55495867768595,0.0731696360081917,0.757709960990239,0.169120403001569,2
"CChen",0.0557535172329053,0.508260991318958,0.100484429065744,0.573808118565152,0.861830012275267,0.110419529887016,0.0277504578377176,3
"DJohnson",0.390944177727572,0.893118279569892,0.543835526746546,0.552709296353364,0.408055814098407,0.453100564605058,0.138843621296535,4
"JLee",0.334761064919795,0.696122947956689,0.452106845119946,0.95864050071494,0.501059912570097,0.0887547590603815,0.410185328369521,5
"JMartin",0.358552631578947,0.746575342465753,0.484444444444444,0.843771043771044,0.125886463773942,0.828052479136788,0.04606105708927,6
"JRobinson",0.185135135135135,0.784351145038168,0.299562682215743,0.461624649859944,0.113567169123213,0.818379191839507,0.06805363903728,7
"JSmith",0.157544061812111,0.934127540294324,0.269616332722331,0.440606089945297,0.352383341188474,0.323558232643356,0.324058426168171,8
"KTanaka",0.226691266912669,0.920579420579421,0.363797868140545,0.327911583776457,0.329295008610725,0.393360060137923,0.277344931251352,9
"MBrown",0.239810426540284,0.857627118644068,0.374814814814815,0.687523139577934,0.318950390380898,0.389721842278221,0.291327767340881,10
"MJones",0.15938525297876,0.78956372968349,0.265229885057471,0.350603174603175,0.125390904903844,0.445578527908521,0.429030567187634,11
"MMiler",0.368158047646717,0.905789849892781,0.523528196653584,0.420452261306533,0.028750595378211,0.492660248735163,0.478589155886626,12
"SLee",0.281321692582208,0.815913501524813,0.418386447103424,0.904102043208188,0.3176725168059,0.270872251265272,0.411455231928829,13
"Ychen",0.0897786127317069,0.888983701681031,0.163087038196619,0.435518952592123,0.224051003193381,0.521309307754937,0.254639689051682,14
