"","Paper","Journal","Coauthor","Paper+Journal+Coauthor","Average # of Paper Under Entity"
"AGupta",0.708185053380783,0.608540925266904,0.839857651245552,0.864768683274021,22.1923076923077
"AKumar",0.75,0.683333333333333,0.641666666666667,0.85,17.4285714285714
"CChen",0.637305699481865,0.455958549222798,0.740932642487047,0.816062176165803,13.1311475409836
"DJohnson",0.718232044198895,0.701657458563536,0.87292817679558,0.889502762430939,24.5333333333333
"JLee",0.662739322533137,0.477172312223859,0.817378497790869,0.891016200294551,14.19
"JMartin",0.555555555555556,0.537037037037037,0.814814814814815,0.907407407407407,7
"JRobinson",0.746987951807229,0.686746987951807,0.686746987951807,0.903614457831325,14.25
"JSmith",0.803063457330416,0.75054704595186,0.809628008752735,0.910284463894967,30.9
"KTanaka",0.839416058394161,0.751824817518248,0.91970802919708,0.978102189781022,28
"MBrown",0.835616438356164,0.726027397260274,0.808219178082192,0.931506849315068,11.7692307692308
"MJones",0.661417322834646,0.700787401574803,0.763779527559055,0.889763779527559,20
"MMiller",0.886138613861386,0.851485148514851,0.891089108910891,0.98019801980198,34.3333333333333
"SLee",0.692415730337079,0.560393258426966,0.830056179775281,0.873595505617977,17.0232558139535
"Ychen",0.687908496732026,0.549019607843137,0.893790849673203,0.88562091503268,17.8169014084507
"Average Accuracy",0.727498696057382,0.645752234334958,0.809328308550198,0.897960243598236,NA
"SD Accuracy",0.0900831108424697,0.115870788861965,0.0791272358554252,0.044398762892638,NA
"Average Run Time",5.01013702750206,4.29288771067347,1.25061192597662,6.89727982963834,NA
